strategy_key,symbol,name,trade_date,buy_signal_state,factor_score,return,return_1d,return_2d,return_3d,return_4d,return_5d,forward_return_1d,effective_return_horizon,close_price,priority_score,market_state,industry
core_midcap_vwap_ma5_retrace,601869,长飞光纤,2026-04-27,avoid,101.7,-0.010623,-0.010623,,,,,-0.010623,1,377.5,101.7,fast_rotation,通信设备
core_midcap_vwap_ma5_retrace,000070,特发信息,2026-04-27,avoid,106.8,-0.044665,-0.044665,,,,,-0.044665,1,20.15,106.8,fast_rotation,通信设备
